Temperature,Pressure,Vibration,Flow Rate,Humidity,Rotation Speed
78.86379458,39.74388155,0.669183375,56.13086281,86.35796481,2.476591886
79.06805532,36.94931213,0.728418765,48.48015393,70.64680836,6.267305038
72.81695291,32.05665995,0.472869242,48.71597995,46.45794156,4.571484091
81.83101506,42.02219416,0.85338598,69.52124435,63.13973097,5.75793857
78.82738779,34.66663418,0.782639101,41.10443165,49.71982799,19.41602272
79.07263096,32.86112409,0.821664337,67.20459011,95.41021489,6.042971895
85.61421264,37.98216421,0.630404245,42.95473841,48.55759157,7.471442367
79.52382804,42.27083251,1.105827339,52.75120793,34.20155966,8.902555692
72.88295383,34.74564201,0.410521856,48.74389568,77.78255629,8.642214074
71.20247395,30.51172551,0.505652399,64.85537962,70.44265396,5.612770015
73.18595655,36.76908507,0.550303972,45.30379658,66.95191865,10.24484745
75.198716,39.99817396,1.034099058,51.60493288,94.10028435,8.919168915
76.86489153,28.98664882,0.501489159,47.51016628,55.37211056,4.910158982
79.38437758,39.24707939,0.540475428,38.0004234,71.51040748,3.744463429
77.00875574,33.23715836,0.46433851,63.71295655,93.23029621,9.080946845
75.95708899,36.42878279,1.026959855,57.7422031,88.35436367,8.144980717
72.9806344,33.7578514,0.564115181,38.04058389,84.88521397,2.98205563
83.14143689,35.88314301,0.493570411,47.68199666,67.34210546,17.17829581
84.39255995,33.7416947,0.658321279,62.09473209,56.8937376,7.354068661
80.83844666,35.71678996,1.002331866,49.21985715,68.96543058,7.917112061
81.27663039,33.12260325,0.728374217,57.34134284,43.74386172,1.762861843
75.69829548,30.37065896,0.409807394,39.50691694,70.33256009,6.61209302
76.86304716,37.1687954,0.804018535,38.08809601,84.35999316,6.220453313
72.96293594,31.1278504,0.421144681,51.65194558,81.54367254,17.77336847
73.92992855,32.64400704,0.976829258,62.7391729,74.51929522,23.56996264
75.0311283,41.44882761,0.838192959,65.38810819,89.85593046,3.694616205
73.39976159,29.74166442,0.583023113,37.57643883,30.67723777,4.000394311
77.60465182,37.94622149,0.49152195,62.50219039,80.47085717,4.309235871
73.01448621,28.08522266,0.655143071,72.45011864,54.10599871,12.52468221
80.70738953,43.93914184,0.817035436,57.57700498,68.52199688,6.307262065
79.30801141,42.97548224,0.799983531,39.42100126,73.04991776,9.461743581
76.18361512,40.47145411,0.974596149,72.87315664,87.22053277,18.06228074
81.82362903,29.87315719,0.539319286,38.80300162,57.82020866,7.014059376
